Library,Species,Common.name,Order,Genus,Num.indv.~,Sample.type,Body.mass,Library.reads,RPS13,Amnoonviridae,Arenaviridae,Astroviridae,Peribunyaviridae,Coronaviridae,Filoviridae,Flaviviridae,Hantaviridae,Hepadnaviridae,Hepeviridae,Iridoviridae,Orthomyxoviridae,Nackednaviridae,Parvoviridae,Picornaviridae,Poxviridae,Spinareoviridae,Sedoreoviridae,Reovirales,Rhabdoviridae,Totiviridae,Total.virome
BVK_L,Pogonophryne barsukovi,Stubbeard plunderfish,Perciformes,Pogonophryne,7,Gill tissue,Low,88146328,6.33E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.04E-05
BVK_H,Pogonophryne barsukovi,Stubbeard plunderfish,Perciformes,Pogonophryne,7,Gill tissue,High,80691052,4.98E-05,0,0,0,0,0,0,0,5.51E-06,0,0,0,0,0,0,0,0,0,0,0,0,2.60E-07,0.000614944
TRD_L,Trematomus lepidorhinus,Slender scalyhead,Perciformes,Trematomus,11,Gill tissue,Low,98275341,4.06E-05,0,8.78E-06,0,2.04E-07,0,6.11E-08,0,0,3.05E-07,0,0,0,2.10E-06,0,0,0,3.05E-08,0,0,0,0,1.52E-05
TRD_H,Trematomus lepidorhinus,Slender scalyhead,Perciformes,Trematomus,8,Gill tissue,High,71289300,4.76E-05,2.17E-06,0,0,2.81E-08,0,0,0,0,0,0,0,0,2.12E-05,0,6.59E-07,0,0,0,0,0,0,3.00E-05
PIM_L,Pogonophryne immaculata,Spot-less plunderfish,Perciformes,Pogonophryne,9,Gill tissue,Low,64532831,5.53E-05,2.32E-07,0,0,0,0,0,0,0,0,0,0.000315532,0,0,0,0,7.60E-06,1.06E-05,0,0,0,0,0.000368823
PIM_H,Pogonophryne immaculata,Spot-less plunderfish,Perciformes,Pogonophryne,9,Gill tissue,High,79191675,5.81E-05,7.07E-06,0,2.53E-08,0,0,0,0,0,0,0,0,0,8.84E-08,0,0,0,5.18E-07,0,0,0,8.84E-08,4.53E-05
LVD_L,Zoarcidae,Eelpouts nei,Scorpaeniformes,*Zoarcidae,5,Gill tissue,Low,98030242,3.57E-06,0,0,0,0,0,0,0,0,0,5.88E-06,0,1.94E-07,0,0,0,0,0,0,0,3.06E-08,0,0.013105989
LVD_H,Zoarcidae,Eelpouts nei,Scorpaeniformes,*Zoarcidae,4,Gill tissue,High,104364990,9.63E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21E-07,0,5.68E-05
SZT_L,Pogonophryne scotti,Saddleback plunderfish,Perciformes,Pogonophryne,5,Gill tissue,Low,88872433,4.78E-05,0,0,0,0,0,0,0,0,0,3.38E-08,0,0,0,0,0,0,0,0,0,0,0,2.45E-05
SZT_H,Pogonophryne scotti,Saddleback plunderfish,Perciformes,Pogonophryne,5,Gill tissue,High,104564154,5.43E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73E-05
MRL_L,Muraenolepis spp.,Moray cods nei,"	Gadiformes",Muraenolepis,11,Gill tissue,Low,118639981,6.57E-05,4.05E-07,0,3.44E-06,0,0,0,0,0,0,0,0,0,0,0,3.54E-07,2.92E-06,0,3.37E-07,0,0,0,2.70E-05
MRL_H,Muraenolepis spp.,Moray cods nei,"	Gadiformes",Muraenolepis,8,Gill tissue,High,83033559,3.98E-05,0,7.62E-06,2.34E-06,0,3.61E-08,0,0,0,0,0,0,0,0,0,3.13E-07,0,0,2.29E-07,0,1.20E-07,0,2.76E-05
