Library,Species,Common.name,Order,Genus,Num.indv.~,Sample.type,Body.mass,Library.reads,RPS13,Amnoonviridae,Arenaviridae,Astroviridae,Peribunyaviridae,Coronaviridae,Filoviridae,Flaviviridae,Hantaviridae,Hepadnaviridae,Hepeviridae,Iridoviridae,Orthomyxoviridae,Nackednaviridae,Parvoviridae,Picornaviridae,Poxviridae,Spinareoviridae,Sedoreoviridae,Reovirales,Rhabdoviridae,Totiviridae,Total.virome
TRD_L,Trematomus lepidorhinus,Slender scalyhead,Perciformes,Trematomus,11,Gill tissue,Low,98275341,40.56979054,0,8.780737784,0,0.203509851,0,0.061052955,0,0,0.305264776,0,0,0,2.098898848,0,0,0,0.030526478,0,0,0,0,15.16931903
TRD_H,Trematomus lepidorhinus,Slender scalyhead,Perciformes,Trematomus,8,Gill tissue,High,71289300,47.57025248,2.168067298,0,0,0.028054701,0,0,0,0,0,0,0,0,21.20837208,0,0.659285475,0,0,0,0,0,0,29.97981464
PIM_L,Pogonophryne immaculata,Spot-less plunderfish,Perciformes,Pogonophryne,9,Gill tissue,Low,64532831,55.28968658,0.232439826,0,0,0,0,0,0,0,0,0,315.531795,0,0,0,0,7.599232707,10.55369785,0,0,0,0,368.8234288
PIM_H,Pogonophryne immaculata,Spot-less plunderfish,Perciformes,Pogonophryne,9,Gill tissue,High,79191675,58.08678753,7.071450377,0,0.02525518,0,0,0,0,0,0,0,0,0,0.08839313,0,0,0,0.517731188,0,0,0,0.08839313,45.33658367
LVD_L,Zoarcidae,Eelpouts nei,Scorpaeniformes,*Zoarcidae,5,Gill tissue,Low,98030242,3.570326798,0,0,0,0,0,0,0,0,0,5.884918656,0,0.19381774,0,0,0,0,0,0,0,0.030602801,0,13105.98948
LVD_H,Zoarcidae,Eelpouts nei,Scorpaeniformes,*Zoarcidae,4,Gill tissue,High,104364990,9.631774027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121400864,0,56.83745095
SZT_L,Pogonophryne scotti,Saddleback plunderfish,Perciformes,Pogonophryne,5,Gill tissue,Low,88872433,47.78905963,0,0,0,0,0,0,0,0,0,0.033756249,0,0,0,0,0,0,0,0,0,0,0,24.48374515
SZT_H,Pogonophryne scotti,Saddleback plunderfish,Perciformes,Pogonophryne,5,Gill tissue,High,104564154,54.31593699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.34791447
MRL_L,Muraenolepis spp.,Moray cods nei,"	Gadiformes",Muraenolepis,11,Gill tissue,Low,118639981,65.73062415,4.05E-01,0,3.435098325,0,0,0,0,0,0,0,0,0,0,0,0.354012194,2.915543286,0,0.337154471,0,0,0,26.95027404
MRL_H,Muraenolepis spp.,Moray cods nei,"	Gadiformes",Muraenolepis,8,Gill tissue,High,83033559,39.7688602,0,7.621858049,2.339174694,0,0.03612997,0,0,0,0,0,0,0,0,0,0.313126407,0,0,0.228823144,0,0.120433234,0,27.63087633
